Cross-Section,Total cross-section area,Starch area #1,Starch area #2,Starch area #3,Starch area #4,Starch area #5,Starch area #6,Starch area #7,Starch area #8,Starch area #9,Starch area #10,Total Starch Area,Percent Starch Area,Cornell Starch Rating,Jonagold Starch Rating,Purdue Starch Rating,UC GrannySmith Starch Rating
cross_section_demo_image_1,257352,240789,0,0,0,0,0,0,0,0,0,240789,93.5641,2,1,0,1
cross_section_demo_image_10,330137,299038,0,0,0,0,0,0,0,0,0,299038,90.58,2,1,1,1
cross_section_demo_image_11,347106,296087,0,0,0,0,0,0,0,0,0,296087,85.3016,3,2,1,2
cross_section_demo_image_12,347771,281366,0,0,0,0,0,0,0,0,0,281366,80.9055,3,2,2,2
cross_section_demo_image_13,337818,245895,0,0,0,0,0,0,0,0,0,245895,72.7892,4,3,2,3
cross_section_demo_image_14,284264,256553,336,0,0,0,0,0,0,0,0,256889,90.3699,2,1,1,0
cross_section_demo_image_15,232149,215297,0,0,0,0,0,0,0,0,0,215297,92.7409,2,1,1,1
cross_section_demo_image_16,337461,304280,0,0,0,0,0,0,0,0,0,304280,90.1675,2,1,1,1
cross_section_demo_image_17,372340,347338,0,0,0,0,0,0,0,0,0,347338,93.2852,2,1,0,1
cross_section_demo_image_18,457568,430968,0,0,0,0,0,0,0,0,0,430968,94.1867,2,0,0,1
cross_section_demo_image_2,340868,324555,0,0,0,0,0,0,0,0,0,324555,95.2143,2,0,0,0
cross_section_demo_image_3,385980,326085,615,0,0,0,0,0,0,0,0,326700,84.6417,3,2,1,1
cross_section_demo_image_4,422425,303176,421,5487,1710,0,0,0,0,0,0,310794,73.5738,4,3,2,2
cross_section_demo_image_5,254012,235364,0,0,0,0,0,0,0,0,0,235364,92.6586,2,1,1,1
cross_section_demo_image_6,297774,281834,0,0,0,0,0,0,0,0,0,281834,94.6469,2,0,0,1
cross_section_demo_image_7,394968,361404,0,0,0,0,0,0,0,0,0,361404,91.5021,2,1,1,1
cross_section_demo_image_8,456957,413663,0,0,0,0,0,0,0,0,0,413663,90.5256,2,1,1,1
cross_section_demo_image_9,393659,241696,3904,258,0,0,0,0,0,0,0,245858,62.4546,5,5,3,3
